media_id,file_name,relative_path,captured_date,captured_time,media_type,component_group,specific_component,stage,observed_state,confidence,tags,notes
20260328_232208_gp_z4ICp1LA,20260328_232208_gp_z4ICp1LA.jpg,photos/20260328_232208_gp_z4ICp1LA.jpg,2026-03-28,23:22:08,photo,electrical_system,pedal_box_wiring,electrical_rework,under_rework,high,pedal_box|wiring|firewall,
20260329_051754,20260329_051754.jpg,photos/20260329_051754.jpg,2026-03-29,05:17:54,photo,rubbers_and_seals,window_rubber_seals_and_frames,removed_parts_cataloguing,removed_from_vehicle,high,window|rubber|seal|rear_hatch,
20260329_051754_gp_YcnhIwZQ,20260329_051754_gp_YcnhIwZQ.jpg,photos/20260329_051754_gp_YcnhIwZQ.jpg,2026-03-29,05:17:54,photo,rubbers_and_seals,window_rubber_seals_and_frames,removed_parts_cataloguing,removed_from_vehicle,high,window|rubber|seal|rear_hatch,
20260329_051759_gp_xEzrDYhQ,20260329_051759_gp_xEzrDYhQ.jpg,photos/20260329_051759_gp_xEzrDYhQ.jpg,2026-03-29,05:17:59,photo,body_exterior,panel_detail_and_markings,baseline_walkaround,assembled,medium,exterior|detail,
20260329_051805_gp_oRw8XV8Q,20260329_051805_gp_oRw8XV8Q.jpg,photos/20260329_051805_gp_oRw8XV8Q.jpg,2026-03-29,05:18:05,photo,body_exterior,panel_detail_and_markings,baseline_walkaround,assembled,medium,exterior|detail,
20260329_095138,20260329_095138.mp4,photos/20260329_095138.mp4,2026-03-29,09:51:38,video,documentation_reference,off_vehicle_workstation_reference_video,reference_material,reference_only,high,reference|video,
20260329_095150_gp_3O2NOXyw,20260329_095150_gp_3O2NOXyw.mp4,photos/20260329_095150_gp_3O2NOXyw.mp4,2026-03-29,09:51:50,video,body_exterior,panel_detail_and_markings,baseline_walkaround,assembled,medium,exterior|detail,
20260329_122723,20260329_122723.jpg,photos/20260329_122723.jpg,2026-03-29,12:27:23,photo,body_exterior,exterior_badge_or_emblem_detail,baseline_walkaround,assembled,high,badge|emblem|exterior,
20260329_122723_gp_aRwFMcGg,20260329_122723_gp_aRwFMcGg.jpg,photos/20260329_122723_gp_aRwFMcGg.jpg,2026-03-29,12:27:23,photo,body_exterior,exterior_badge_or_emblem_detail,baseline_walkaround,assembled,high,badge|emblem|exterior,
20260329_122855,20260329_122855.jpg,photos/20260329_122855.jpg,2026-03-29,12:28:55,photo,interior_cabin,cabin_view_through_glass,baseline_walkaround,assembled,high,interior|window_view,
