source_sheet,source_row,item,price_raw,amount,amount_note,vendor,received_raw,received_status,paid_raw,paid_status,extra_notes,row_disposition,suggested_target_tab
Wiring,133,"Hazard: 1 × red latching pushbutton, panel-mount, automotive 12V",,,,electronicstore.pk,,,,,"6mm PLUSE Switch10 Amp 16mm Latching Push Button Switch 12V and 24v Angel Eye LED Waterproof Stainless Steel Round (16mm, Red) Price in Pakistan",line_item,
Wiring,134,"Spot lamps: 1 × simple ON/OFF switch, compact panel-mount, automotive 12V",,,,,,,,,,section_header,
Wiring,135,AC blower control: 1 × panel-mount variable blower knob/control compatible with chosen AC unit,,,,,,,,,,section_header,
Wiring,136,AC vents/outlets: 2 × adjustable dash vents with duct connection for hidden AC unit,,,,,,,,,,section_header,
Wiring,137,"Optional hidden backup: 1 × concealed fuel cutoff switch if desired, mounted out of sight",,,,,,,,,,section_header,
Wiring,139,Jump Leads,,,,,,,,,,section_header,
Wiring,140,Jacks and stands,,,,,,,,,,section_header,
Wiring,142,Suspension,,,,,,,,,,section_header,
Wiring,143,Component,Part,,Part,Quantity,Details,other,,,,line_item,
Wiring,144,Front Leaf Springs,CS001F,001,CSF,2,"8-leaf, 50mm lift",other,,,,schema_mismatch,Suspension
Wiring,145,Rear Leaf Springs,CS001R,001,CSR,2,Medium Load rating,other,,,,schema_mismatch,Suspension
Wiring,146,Front Shocks,60097,60097,,2,Nitrocharger Sport (Gas) shocks,other,,,,schema_mismatch,Suspension
Wiring,147,Rear Shocks,63064,63064,,2,Heavy Duty Nitrocharger sport valving,other,,,,schema_mismatch,Suspension
Wiring,148,Greasable Shackle (Front),OMEGS8,8,OMEGS,1,For pre 1980 with 15mm pins,other,,,,schema_mismatch,Suspension
Wiring,149,Greasable Shackle (Rear),OMEGS9,9,OMEGS,1,For FJ40 rear leaf springs,other,,,,schema_mismatch,Suspension
Wiring,150,Bushing Kit,OMESB30,30,OMESB,4,Premium polyurethane for all spring eyes,other,,,,schema_mismatch,Suspension
Wiring,151,U-Bolt Kit,OMEU59A,59,OMEUA,7,To secure axle mounting,other,,,,schema_mismatch,
Wiring,152,Rear Anti-Inversion Kit,FK08,08,FK,1,Prevent spring flip,other,,,,schema_mismatch,Suspension
Service,2,Remove old LEDS,5000,5000,,,,,,,,line_item,
Service,3,New Battery,16000,16000,,HaveToCheck,,,,,,line_item,
