file_name,relative_path,component_group,stage,confidence,decision,reason,target_relative_path
20260324_004855_gp_LX6anGdw.jpg,photos/20260324_004855_gp_LX6anGdw.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260324_004901.jpg,photos/20260324_004901.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260324_004904_gp_idPFK8Og.jpg,photos/20260324_004904_gp_idPFK8Og.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260324_004906.jpg,photos/20260324_004906.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260324_004909_gp_IC7fzX9A.jpg,photos/20260324_004909_gp_IC7fzX9A.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260324_004918.jpg,photos/20260324_004918.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260324_004921_gp_bHLJcrEw.jpg,photos/20260324_004921_gp_bHLJcrEw.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260328_053638_gp_t6Q3oCTA.jpg,photos/20260328_053638_gp_t6Q3oCTA.jpg,electrical_system,electrical_rework,high,keep,keyword_car_match,
20260328_053645_gp_6idpzPCg.jpg,photos/20260328_053645_gp_6idpzPCg.jpg,electrical_system,electrical_rework,high,keep,keyword_car_match,
20260328_174655_gp_uKQXWNAg.jpeg,photos/20260328_174655_gp_uKQXWNAg.jpeg,electrical_system,electrical_rework,high,keep,keyword_car_match,
20260328_232207.jpg,photos/20260328_232207.jpg,electrical_system,electrical_rework,high,keep,keyword_car_match,
20260328_232208_gp_z4ICp1LA.jpg,photos/20260328_232208_gp_z4ICp1LA.jpg,electrical_system,electrical_rework,high,keep,keyword_car_match,
20260329_051754.jpg,photos/20260329_051754.jpg,rubbers_and_seals,removed_parts_cataloguing,high,keep,component_group_not_reference,
20260329_051754_gp_YcnhIwZQ.jpg,photos/20260329_051754_gp_YcnhIwZQ.jpg,rubbers_and_seals,removed_parts_cataloguing,high,keep,component_group_not_reference,
20260329_051759_gp_xEzrDYhQ.jpg,photos/20260329_051759_gp_xEzrDYhQ.jpg,body_exterior,baseline_walkaround,medium,keep,component_group_not_reference,
20260329_051805_gp_oRw8XV8Q.jpg,photos/20260329_051805_gp_oRw8XV8Q.jpg,body_exterior,baseline_walkaround,medium,keep,component_group_not_reference,
20260329_095138.mp4,photos/20260329_095138.mp4,documentation_reference,reference_material,high,keep,reference_but_high_or_medium_confidence,
20260329_095150_gp_3O2NOXyw.mp4,photos/20260329_095150_gp_3O2NOXyw.mp4,body_exterior,baseline_walkaround,medium,keep,component_group_not_reference,
20260329_122723.jpg,photos/20260329_122723.jpg,body_exterior,baseline_walkaround,high,keep,component_group_not_reference,
20260329_122723_gp_aRwFMcGg.jpg,photos/20260329_122723_gp_aRwFMcGg.jpg,body_exterior,baseline_walkaround,high,keep,component_group_not_reference,
20260329_122855.jpg,photos/20260329_122855.jpg,interior_cabin,baseline_walkaround,high,keep,component_group_not_reference,
20260329_122855_gp_B94NpLbg.jpg,photos/20260329_122855_gp_B94NpLbg.jpg,interior_cabin,baseline_walkaround,high,keep,component_group_not_reference,
20260331_030439_gp_Hm0ga9nQ.jpg,photos/20260331_030439_gp_Hm0ga9nQ.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224409.jpg,photos/20260331_224409.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224411_gp_xotdHr5w.jpg,photos/20260331_224411_gp_xotdHr5w.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224415.jpg,photos/20260331_224415.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224416_gp_HZ3sjkkA.jpg,photos/20260331_224416_gp_HZ3sjkkA.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224423.jpg,photos/20260331_224423.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224424_gp_whE84rpw.jpg,photos/20260331_224424_gp_whE84rpw.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224428.jpg,photos/20260331_224428.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
